,asli,tanpa_stopword,lemmatized
55,"['a', 'combination', 'of', 'two', 'drugs', 'lopinavir', 'and', 'ritonavir', 'was', 'successful', 'in', 'the', 'sars', 'epidemic', 'and', 'is', 'being', 'tested', 'in', 'china', 'during', 'this', 'outbreak']","['combination', 'two', 'drugs', 'lopinavir', 'ritonavir', 'successful', 'sars', 'epidemic', 'tested', 'china', 'outbreak']","['combination', 'two', 'drug', 'lopinavir', 'ritonavir', 'successful', 'sars', 'epidemic', 'tested', 'china', 'outbreak']"
56,"['but', 'at', 'the', 'moment', 'treatment', 'relies', 'on', 'the', 'basics', 'keeping', 'the', 'patient', 's', 'body', 'going', 'including', 'breathing', 'support', 'until', 'their', 'immune', 'system', 'can', 'fight', 'the', 'virus', 'off']","['moment', 'treatment', 'relies', 'basics', 'keeping', 'patient', 'body', 'going', 'including', 'breathing', 'support', 'immune', 'system', 'fight', 'virus']","['moment', 'treatment', 'relies', 'basic', 'keeping', 'patient', 'body', 'going', 'including', 'breathing', 'support', 'immune', 'system', 'fight', 'virus']"
57,"['colds', 'and', 'flu', 'tend', 'to', 'do', 'their', 'main', 'business', 'in', 'the', 'winter', 'months', 'so', 'there', 'is', 'hope', 'that', 'the', 'turning', 'of', 'the', 'seasons', 'may', 'help', 'stem', 'the', 'outbreak']","['colds', 'flu', 'tend', 'main', 'business', 'winter', 'months', 'hope', 'turning', 'seasons', 'may', 'help', 'stem', 'outbreak']","['cold', 'flu', 'tend', 'main', 'business', 'winter', 'month', 'hope', 'turning', 'season', 'may', 'help', 'stem', 'outbreak']"
58,"['schools', 'are', 'closed', 'for', 'a', 'long', 'time', 'in', 'the', 'summer', 'and', 'that', 'helps', 'limit', 'the', 'spread', 'of', 'many', 'of', 'these', 'respiratory', 'infections', 'said', 'prof', 'john', 'edmunds', 'from', 'the', 'london', 'school', 'of', 'hygiene', 'and', 'tropical', 'medicine']","['schools', 'closed', 'long', 'time', 'summer', 'helps', 'limit', 'spread', 'many', 'respiratory', 'infections', 'said', 'prof', 'john', 'edmunds', 'london', 'school', 'hygiene', 'tropical', 'medicine']","['school', 'closed', 'long', 'time', 'summer', 'help', 'limit', 'spread', 'many', 'respiratory', 'infection', 'said', 'prof', 'john', 'edmunds', 'london', 'school', 'hygiene', 'tropical', 'medicine']"
59,"['however', 'mers', 'coronavirus', 'emerged', 'in', 'the', 'summer', 'in', 'saudi', 'arabia']","['however', 'mers', 'coronavirus', 'emerged', 'summer', 'saudi', 'arabia']","['however', 'mers', 'coronavirus', 'emerged', 'summer', 'saudi', 'arabia']"
60,"['these', 'viruses', 'can', 'certainly', 'spread', 'during', 'the', 'high', 'temperature', 'seasons', 'but', 'the', 'extent', 'of', 'the', 'spread', 'is', 'what', 's', 'important', 'said', 'prof', 'david', 'heymann']","['viruses', 'certainly', 'spread', 'high', 'temperature', 'seasons', 'extent', 'spread', 'important', 'said', 'prof', 'david', 'heymann']","['virus', 'certainly', 'spread', 'high', 'temperature', 'season', 'extent', 'spread', 'important', 'said', 'prof', 'david', 'heymann']"
61,"['china', 'has', 'done', 'something', 'unprecedented', 'anywhere', 'in', 'the', 'world', 'effectively', 'putting', 'entire', 'cities', 'into', 'quarantine']","['china', 'done', 'something', 'unprecedented', 'anywhere', 'world', 'effectively', 'putting', 'entire', 'cities', 'quarantine']","['china', 'done', 'something', 'unprecedented', 'anywhere', 'world', 'effectively', 'putting', 'entire', 'city', 'quarantine']"
62,"['the', 'central', 'province', 'of', 'hubei', 'which', 'includes', 'wuhan', 'is', 'in', 'lockdown', 'with', 'around', '60', 'million', 'people', 'affected']","['central', 'province', 'hubei', 'includes', 'wuhan', 'lockdown', 'around', '60', 'million', 'people', 'affected']","['central', 'province', 'hubei', 'includes', 'wuhan', 'lockdown', 'around', '60', 'million', 'people', 'affected']"
63,"['beijing', 'has', 'banned', 'group', 'dining', 'for', 'events', 'such', 'as', 'birthdays', 'and', 'weddings', 'while', 'cities', 'such', 'as', 'hangzhou', 'and', 'nanchang', 'are', 'limiting', 'how', 'many', 'family', 'members', 'can', 'leave', 'home', 'each', 'day']","['beijing', 'banned', 'group', 'dining', 'events', 'birthdays', 'weddings', 'cities', 'hangzhou', 'nanchang', 'limiting', 'many', 'family', 'members', 'leave', 'home', 'day']","['beijing', 'banned', 'group', 'dining', 'event', 'birthday', 'wedding', 'city', 'hangzhou', 'nanchang', 'limiting', 'many', 'family', 'member', 'leave', 'home', 'day']"
64,"['hubei', 'province', 'has', 'even', 'switched', 'off', 'lifts', 'in', 'high', 'rise', 'buildings', 'to', 'discourage', 'residents', 'from', 'going', 'outside']","['hubei', 'province', 'even', 'switched', 'lifts', 'high', 'rise', 'buildings', 'discourage', 'residents', 'going', 'outside']","['hubei', 'province', 'even', 'switched', 'lift', 'high', 'rise', 'building', 'discourage', 'resident', 'going', 'outside']"
